"id","_j","consent","q36preference","equitypref","q","gender","age","q37organisation","q38sector","q35yrs_experience","q39oh_network","q40equity_concept","survey","a1","v1","totala","a2","v2","totalb","a1t","v1t","a2t","v2t","part2","part3","HaveA","HaveB","dumfemale","own_health","exp","q36","q40"
1,21,1,"1,00","NA",0,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,22,2,24,69,58,81,50,0,0,64,66,0,80,20,1,5
1,22,1,"1,00","NA",0,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,19,4,23,69,58,78,52,0,0,64,65,0,80,20,1,5
1,23,1,"1,00","NA",0,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,16,6,22,69,58,75,54,0,0,64,65,0,80,20,1,5
1,24,1,"1,00","NA",0,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,13,8,21,69,58,72,56,0,0,64,64,0,80,20,1,5
1,25,1,"1,00","NA",1,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,7,12,19,69,58,66,60,0,0,64,63,0,80,20,1,5
1,26,1,"1,00","NA",1,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,4,14,18,69,58,63,62,0,0,64,63,0,80,20,1,5
1,27,1,"1,00","NA",1,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,1,16,17,69,58,60,64,0,0,64,62,0,80,20,1,5
1,31,1,"1,00","NA",0,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,22,2,24,69,43,81,35,1,0,56,58,0,80,20,1,5
1,32,1,"1,00","NA",0,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,19,4,23,69,43,78,37,1,0,56,58,0,80,20,1,5
1,33,1,"1,00","NA",0,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,16,6,22,69,43,75,39,1,0,56,57,0,80,20,1,5
1,34,1,"1,00","NA",0,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,13,8,21,69,43,72,41,1,0,56,57,0,80,20,1,5
1,35,1,"1,00","NA",1,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,7,12,19,69,43,66,45,1,0,56,56,0,80,20,1,5
1,36,1,"1,00","NA",1,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,4,14,18,69,43,63,47,1,0,56,55,0,80,20,1,5
1,37,1,"1,00","NA",1,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,1,16,17,69,43,60,49,1,0,56,55,0,80,20,1,5
1,41,1,"1,00","NA",0,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,22,2,24,69,33,81,25,0,1,51,53,0,80,20,1,5
1,42,1,"1,00","NA",0,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,19,4,23,69,33,78,27,0,1,51,53,0,80,20,1,5
1,43,1,"1,00","NA",0,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,16,6,22,69,33,75,29,0,1,51,52,0,80,20,1,5
1,44,1,"1,00","NA",0,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,13,8,21,69,33,72,31,0,1,51,52,0,80,20,1,5
1,45,1,"1,00","NA",0,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,7,12,19,69,33,66,35,0,1,51,51,0,80,20,1,5
1,46,1,"1,00","NA",1,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,4,14,18,69,33,63,37,0,1,51,50,0,80,20,1,5
1,47,1,"1,00","NA",1,"PNS",NA,"4,6,10","1,4,7,9","20","4","5,00","OHEJP",10,10,20,1,16,17,69,33,60,39,0,1,51,50,0,80,20,1,5
2,21,1,"2,00","NA",0,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,22,2,24,69,58,81,50,0,0,64,66,0,90,10,2,2
2,22,1,"2,00","NA",0,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,19,4,23,69,58,78,52,0,0,64,65,0,90,10,2,2
2,23,1,"2,00","NA",0,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,16,6,22,69,58,75,54,0,0,64,65,0,90,10,2,2
2,24,1,"2,00","NA",0,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,13,8,21,69,58,72,56,0,0,64,64,0,90,10,2,2
2,25,1,"2,00","NA",1,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,7,12,19,69,58,66,60,0,0,64,63,0,90,10,2,2
2,26,1,"2,00","NA",1,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,4,14,18,69,58,63,62,0,0,64,63,0,90,10,2,2
2,27,1,"2,00","NA",1,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,1,16,17,69,58,60,64,0,0,64,62,0,90,10,2,2
2,31,1,"2,00","NA",0,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,22,2,24,69,43,81,35,1,0,56,58,0,90,10,2,2
2,32,1,"2,00","NA",0,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,19,4,23,69,43,78,37,1,0,56,58,0,90,10,2,2
2,33,1,"2,00","NA",0,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,16,6,22,69,43,75,39,1,0,56,57,0,90,10,2,2
2,34,1,"2,00","NA",0,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,13,8,21,69,43,72,41,1,0,56,57,0,90,10,2,2
2,35,1,"2,00","NA",1,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,7,12,19,69,43,66,45,1,0,56,56,0,90,10,2,2
2,36,1,"2,00","NA",1,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,4,14,18,69,43,63,47,1,0,56,55,0,90,10,2,2
2,37,1,"2,00","NA",1,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,1,16,17,69,43,60,49,1,0,56,55,0,90,10,2,2
2,41,1,"2,00","NA",0,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,22,2,24,69,33,81,25,0,1,51,53,0,90,10,2,2
2,42,1,"2,00","NA",0,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,19,4,23,69,33,78,27,0,1,51,53,0,90,10,2,2
2,43,1,"2,00","NA",0,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,16,6,22,69,33,75,29,0,1,51,52,0,90,10,2,2
2,44,1,"2,00","NA",0,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,13,8,21,69,33,72,31,0,1,51,52,0,90,10,2,2
2,45,1,"2,00","NA",1,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,7,12,19,69,33,66,35,0,1,51,51,0,90,10,2,2
2,46,1,"2,00","NA",1,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,4,14,18,69,33,63,37,0,1,51,50,0,90,10,2,2
2,47,1,"2,00","NA",1,"2",8,"4,6","7","10","4","2,00","OHEJP",10,10,20,1,16,17,69,33,60,39,0,1,51,50,0,90,10,2,2
3,21,1,"5,00","NA",1,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,22,2,24,69,58,81,50,0,0,64,66,1,80,18,5,3
3,22,1,"5,00","NA",1,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,19,4,23,69,58,78,52,0,0,64,65,1,80,18,5,3
3,23,1,"5,00","NA",1,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,16,6,22,69,58,75,54,0,0,64,65,1,80,18,5,3
3,24,1,"5,00","NA",1,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,13,8,21,69,58,72,56,0,0,64,64,1,80,18,5,3
3,25,1,"5,00","NA",0,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,7,12,19,69,58,66,60,0,0,64,63,1,80,18,5,3
3,26,1,"5,00","NA",0,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,4,14,18,69,58,63,62,0,0,64,63,1,80,18,5,3
3,27,1,"5,00","NA",0,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,1,16,17,69,58,60,64,0,0,64,62,1,80,18,5,3
3,31,1,"5,00","NA",1,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,22,2,24,69,43,81,35,1,0,56,58,1,80,18,5,3
3,32,1,"5,00","NA",1,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,19,4,23,69,43,78,37,1,0,56,58,1,80,18,5,3
3,33,1,"5,00","NA",1,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,16,6,22,69,43,75,39,1,0,56,57,1,80,18,5,3
3,34,1,"5,00","NA",1,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,13,8,21,69,43,72,41,1,0,56,57,1,80,18,5,3
3,35,1,"5,00","NA",0,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,7,12,19,69,43,66,45,1,0,56,56,1,80,18,5,3
3,36,1,"5,00","NA",0,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,4,14,18,69,43,63,47,1,0,56,55,1,80,18,5,3
3,37,1,"5,00","NA",0,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,1,16,17,69,43,60,49,1,0,56,55,1,80,18,5,3
3,41,1,"5,00","NA",1,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,22,2,24,69,33,81,25,0,1,51,53,1,80,18,5,3
3,42,1,"5,00","NA",1,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,19,4,23,69,33,78,27,0,1,51,53,1,80,18,5,3
3,43,1,"5,00","NA",1,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,16,6,22,69,33,75,29,0,1,51,52,1,80,18,5,3
3,44,1,"5,00","NA",1,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,13,8,21,69,33,72,31,0,1,51,52,1,80,18,5,3
3,45,1,"5,00","NA",0,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,7,12,19,69,33,66,35,0,1,51,51,1,80,18,5,3
3,46,1,"5,00","NA",0,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,4,14,18,69,33,63,37,0,1,51,50,1,80,18,5,3
3,47,1,"5,00","NA",0,"1",4,"4","4","18","5","3,00","OHEJP",10,10,20,1,16,17,69,33,60,39,0,1,51,50,1,80,18,5,3
4,21,1,"2,00","NA",0,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,22,2,24,69,58,81,50,0,0,64,66,0,90,5,2,2
4,22,1,"2,00","NA",0,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,19,4,23,69,58,78,52,0,0,64,65,0,90,5,2,2
4,23,1,"2,00","NA",0,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,16,6,22,69,58,75,54,0,0,64,65,0,90,5,2,2
4,24,1,"2,00","NA",1,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,13,8,21,69,58,72,56,0,0,64,64,0,90,5,2,2
4,25,1,"2,00","NA",1,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,7,12,19,69,58,66,60,0,0,64,63,0,90,5,2,2
4,26,1,"2,00","NA",0,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,4,14,18,69,58,63,62,0,0,64,63,0,90,5,2,2
4,27,1,"2,00","NA",0,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,1,16,17,69,58,60,64,0,0,64,62,0,90,5,2,2
4,31,1,"2,00","NA",0,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,22,2,24,69,43,81,35,1,0,56,58,0,90,5,2,2
4,32,1,"2,00","NA",0,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,19,4,23,69,43,78,37,1,0,56,58,0,90,5,2,2
4,33,1,"2,00","NA",0,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,16,6,22,69,43,75,39,1,0,56,57,0,90,5,2,2
4,34,1,"2,00","NA",0,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,13,8,21,69,43,72,41,1,0,56,57,0,90,5,2,2
4,35,1,"2,00","NA",1,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,7,12,19,69,43,66,45,1,0,56,56,0,90,5,2,2
4,36,1,"2,00","NA",1,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,4,14,18,69,43,63,47,1,0,56,55,0,90,5,2,2
4,37,1,"2,00","NA",1,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,1,16,17,69,43,60,49,1,0,56,55,0,90,5,2,2
4,41,1,"2,00","NA",0,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,22,2,24,69,33,81,25,0,1,51,53,0,90,5,2,2
4,42,1,"2,00","NA",0,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,19,4,23,69,33,78,27,0,1,51,53,0,90,5,2,2
4,43,1,"2,00","NA",0,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,16,6,22,69,33,75,29,0,1,51,52,0,90,5,2,2
4,44,1,"2,00","NA",0,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,13,8,21,69,33,72,31,0,1,51,52,0,90,5,2,2
4,45,1,"2,00","NA",1,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,7,12,19,69,33,66,35,0,1,51,51,0,90,5,2,2
4,46,1,"2,00","NA",1,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,4,14,18,69,33,63,37,0,1,51,50,0,90,5,2,2
4,47,1,"2,00","NA",1,"2",4,"1","5","5","4","2,00","OHEJP",10,10,20,1,16,17,69,33,60,39,0,1,51,50,0,90,5,2,2
5,21,1,"1,00","NA",0,"1",1,"6","1,4,5,6,7","student","5","5,00","OHEJP",10,10,20,22,2,24,69,58,81,50,0,0,64,66,1,80,NA,1,5
5,22,1,"1,00","NA",0,"1",1,"6","1,4,5,6,7","student","5","5,00","OHEJP",10,10,20,19,4,23,69,58,78,52,0,0,64,65,1,80,NA,1,5
5,23,1,"1,00","NA",0,"1",1,"6","1,4,5,6,7","student","5","5,00","OHEJP",10,10,20,16,6,22,69,58,75,54,0,0,64,65,1,80,NA,1,5
5,24,1,"1,00","NA",0,"1",1,"6","1,4,5,6,7","student","5","5,00","OHEJP",10,10,20,13,8,21,69,58,72,56,0,0,64,64,1,80,NA,1,5
5,25,1,"1,00","NA",1,"1",1,"6","1,4,5,6,7","student","5","5,00","OHEJP",10,10,20,7,12,19,69,58,66,60,0,0,64,63,1,80,NA,1,5
5,26,1,"1,00","NA",1,"1",1,"6","1,4,5,6,7","student","5","5,00","OHEJP",10,10,20,4,14,18,69,58,63,62,0,0,64,63,1,80,NA,1,5
5,27,1,"1,00","NA",1,"1",1,"6","1,4,5,6,7","student","5","5,00","OHEJP",10,10,20,1,16,17,69,58,60,64,0,0,64,62,1,80,NA,1,5
5,31,1,"1,00","NA",0,"1",1,"6","1,4,5,6,7","student","5","5,00","OHEJP",10,10,20,22,2,24,69,43,81,35,1,0,56,58,1,80,NA,1,5
5,32,1,"1,00","NA",0,"1",1,"6","1,4,5,6,7","student","5","5,00","OHEJP",10,10,20,19,4,23,69,43,78,37,1,0,56,58,1,80,NA,1,5
